external_ref,oem,model,chemistry,rated_capacity_kwh,nominal_voltage,manufacture_date,source_city,source_state,lat,lng,cycle_count,capacity_now_kwh,avg_temp_c,max_temp_c,thermal_stress_hours,internal_resistance_mohm,ir_growth_pct,coulombic_efficiency,fade_rate,fade_acceleration,cv_phase_fraction,voltage_slope,voltage_variance,discharge_efficiency
BAT-0001,Fleet Operator B (2W),VoltPack-3100,NMC,3.1,52.0,2021-09-11,Chennai,Tamil Nadu,13.1393,80.1351,1176,2.08,30.7,47.5,88.7,36.7,22.5,0.9889,2.341,0.019,0.329,0.22,0.1124,0.9257
BAT-0002,Fleet Operator B (2W),VoltPack-4300,NMC,4.3,52.0,2022-03-28,Pune,Maharashtra,18.4137,73.8396,1942,2.5,38.9,49.4,57.6,38.3,45.0,0.986,2.299,0.031,0.397,0.264,0.0754,0.9066
BAT-0003,Fleet Operator C (3W),VoltPack-7300,NMC,7.3,48.0,2023-11-24,Jaipur,Rajasthan,26.7798,75.6576,1388,3.41,34.5,51.9,67.6,31.7,39.8,0.985,3.789,0.09,0.42,0.28,0.083,0.9
BAT-0004,Fleet Operator A (2W),VoltPack-3400,LFP,3.4,48.0,2022-09-27,Chennai,Tamil Nadu,13.0665,80.387,798,2.18,34.1,50.5,50.6,20.7,55.5,0.988,5.034,0.016,0.351,0.234,0.1424,0.9195
BAT-0005,Fleet Operator A (2W),VoltPack-3100,LFP,3.1,60.0,2023-04-24,Bengaluru,Karnataka,13.1069,77.6213,1103,2.06,33.6,52.8,89.9,17.4,23.4,0.9887,3.467,0.039,0.334,0.223,0.049,0.9243
BAT-0006,Fleet Operator A (2W),VoltPack-3400,LFP,3.4,48.0,2022-02-03,Chennai,Tamil Nadu,13.0355,80.2044,1437,2.7,32.8,44.7,51.2,24.0,45.4,0.9929,1.348,0.019,0.238,0.158,0.0624,0.9517
BAT-0007,Fleet Operator B (2W),VoltPack-3700,LFP,3.7,60.0,2022-03-20,New Delhi,Delhi,28.7616,77.2912,270,3.44,28.9,40.9,2.9,19.1,16.0,0.9973,2.807,0.017,0.136,0.09,0.0124,0.9805
BAT-0008,Fleet Operator B (3W),VoltPack-7600,LCO,7.6,60.0,2021-05-01,Chennai,Tamil Nadu,12.9796,80.3398,1113,5.75,29.8,46.6,17.6,22.2,21.7,0.9917,2.156,0.041,0.265,0.177,0.0543,0.9439
BAT-0009,Fleet Operator C (2W),VoltPack-4400,NMC,4.4,60.0,2021-11-19,Pune,Maharashtra,18.6057,73.7858,879,3.37,33.5,50.0,42.1,38.9,30.6,0.992,2.661,0.005,0.258,0.172,0.0841,0.946
BAT-0010,Fleet Operator A (2W),VoltPack-3200,LCO,3.2,52.0,2023-11-15,Pune,Maharashtra,18.4604,73.858,339,2.61,32.2,48.8,9.8,36.4,33.0,0.9937,5.922,0.034,0.22,0.146,0.0467,0.9568
